fr_sad,fr_spr,fr_her,fr_oth,Year,Month,Day,pred_weight,pred_length,saduria,sprat,herring,lat,lon,ices_rect,X,Y,depth
0,0,0,0.08142857142857143,1965,9,5,42,15,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.17647058823529413,1965,9,5,68,19,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.2215909090909091,1965,9,5,44,17,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.15000000000000002,1965,9,5,44,18,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.002916666666666667,1965,9,5,24,14,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.231,1965,9,5,50,18,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.08780769230769231,1965,9,5,26,14,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.4397857142857143,1965,9,5,14,11,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.5308823529411765,1965,9,5,68,19,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.37941176470588234,1965,9,5,68,19,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.195,1965,9,5,40,15,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.060810810810810814,1965,9,5,74,19,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.1803030303030303,1965,9,5,66,19,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.32062500000000005,1965,9,5,64,19,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
0,0,0,0.2503030303030303,1965,9,5,66,19,0,0,0,57.5333,21.2333,44H1,872.9140577219495,6393.894129778405,58.400001525878906
